TimestampGyro [ns]; GyroX [rad/s]; GyroY [rad/s]; GyroZ [rad/s]
6,81E+13;0.0032;-0.0226;-0.0642
6,81E+13;-0.0271;0.0317;-0.0669
6,81E+13;-0.0633;0.0573;-0.0749
6,81E+13;-0.0026;0.0429;-0.0568
6,81E+13;-0.0287;-0.0024;-0.0744
6,81E+13;-0.0468;0.0706;-0.0637
6,81E+13;-0.0026;-0.0311;-0.0589
6,81E+13;-0.0069;0.0743;-0.0605
6,81E+13;-0.0064;0.0573;-0.0589
6,81E+13;0.0352;0.0019;-0.0424
6,81E+13;-0.0032;0.0620;-0.0547
6,81E+13;0.0336;-0.0130;-0.0483
6,81E+13;0.0165;0.0099;-0.0536
6,81E+13;0.0581;-0.0194;-0.0573
6,81E+13;-0.0032;0.0477;-0.0515
6,81E+13;0.0682;-0.0705;-0.0600
6,81E+13;0.0309;0.0658;-0.0451
6,81E+13;0.0394;-0.0439;-0.0579
6,81E+13;0.0362;0.0205;-0.0493
6,81E+13;0.0102;0.0056;-0.0610
6,81E+13;0.0538;-0.0647;-0.0504
6,81E+13;-0.0303;0.0381;-0.0552
6,81E+13;0.0293;-0.0514;-0.0584
6,81E+13;0.0245;0.0067;-0.0509
6,81E+13;-0.0303;0.0237;-0.0579
6,81E+13;0.0442;-0.0226;-0.0403
6,81E+13;-0.0330;0.0940;-0.0536
6,81E+13;-0.0261;0.1020;-0.0371
6,81E+13;0.0485;-0.0242;-0.0445
6,81E+13;-0.0149;0.1078;-0.0488
6,81E+13;-0.0106;0.1361;-0.0286
6,81E+13;0.0272;0.0210;-0.0477
6,81E+13;0.0245;0.0881;-0.0307
6,81E+13;-0.0367;0.0892;-0.0493
6,81E+13;0.0165;0.0040;-0.0392
6,81E+13;0.0032;0.0487;-0.0350
6,81E+13;-0.0186;0.0956;-0.0435
6,81E+13;-0.0308;0.0711;-0.0419
6,81E+13;-0.0527;0.0136;-0.0424
6,81E+13;-0.0207;-0.0258;-0.0243
6,81E+13;-0.0974;0.0131;-0.0387
6,81E+13;-0.0814;0.0163;-0.0312
6,81E+13;-0.0852;0.0865;-0.0323
6,81E+13;-0.0932;0.0163;-0.0467
6,81E+13;-0.1182;-0.0274;-0.0392
6,81E+13;-0.1001;0.0099;-0.0397
6,81E+13;-0.0804;0.0477;-0.0371
6,81E+13;-0.0585;-0.0535;-0.0531
6,81E+13;-0.0532;0.0194;-0.0499
6,81E+13;-0.0356;0.0349;-0.0541
6,81E+13;-0.0271;-0.0913;-0.0573
6,81E+13;0.0048;0.0258;-0.0483
6,81E+13;-0.0255;-0.0168;-0.0568
6,81E+13;0.0229;-0.0290;-0.0579
6,81E+13;-0.0106;0.0306;-0.0584
6,81E+13;0.0325;-0.0599;-0.0573
6,81E+13;0.0309;0.1031;-0.0403
6,81E+13;-0.0005;-0.1270;-0.0701
6,81E+13;0.1385;0.1973;-0.0254
6,81E+13;-0.0681;-0.2026;-0.0813
6,81E+13;0.1907;0.1265;-0.0296
6,81E+13;-0.0186;0.0487;-0.0797
6,81E+13;0.0570;-0.1366;-0.0477
6,81E+13;0.1571;0.0583;-0.0440
6,81E+13;-0.0484;0.1153;-0.0626
6,81E+13;0.0741;-0.1392;-0.0445
6,81E+13;0.1124;0.0903;-0.0451
6,81E+13;-0.0756;0.0573;-0.0552
6,81E+13;0.0730;-0.0168;-0.0222
6,81E+13;0.0256;-0.0290;-0.0397
6,81E+13;-0.0490;0.0541;-0.0264
6,81E+13;0.0272;0.0189;-0.0222
6,81E+13;-0.0181;0.0333;-0.0259
6,81E+13;-0.0335;-0.0263;-0.0131
6,81E+13;-0.0154;0.0099;-0.0110
6,81E+13;-0.0356;0.0115;-0.0099
6,81E+13;-0.0213;-0.0253;-0.0067
6,81E+13;-0.0197;0.0168;-0.0083
6,81E+13;-0.0340;-0.0130;-0.0195
6,81E+13;-0.0021;-0.0013;-0.0089
6,81E+13;-0.0170;0.0040;-0.0105
6,81E+13;-0.0484;0.0567;-0.0147
6,81E+13;0.0187;-0.0098;-0.0179
6,81E+13;-0.0293;-0.0604;-0.0248
6,81E+13;-0.0548;0.0157;-0.0195
6,81E+13;-0.0277;-0.0833;-0.0216
6,81E+13;-0.0245;-0.0237;-0.0169
6,81E+13;-0.0149;-0.0487;-0.0200
6,81E+13;-0.0058;-0.0567;-0.0158
6,81E+13;-0.0058;0.0280;-0.0019
6,81E+13;0.0464;-0.0311;-0.0089
6,81E+13;-0.0127;0.0924;-0.0030
6,81E+13;0.0203;-0.0492;-0.0078
6,81E+13;0.0400;0.0152;-0.0025
6,81E+13;0.0219;0.0312;-0.0078
6,81E+13;0.0283;-0.0072;-0.0105
6,81E+13;0.0149;-0.0040;-0.0147
6,81E+13;0.0080;-0.0024;-0.0184
6,81E+13;-0.0101;0.0083;0.0029
6,81E+13;-0.0223;-0.0253;-0.0067
6,81E+13;-0.0308;0.0407;-0.0035
6,81E+13;-0.0239;0.0003;-0.0035
6,81E+13;-0.0330;-0.0072;-0.0030
6,81E+13;-0.0340;0.0152;0.0060
6,81E+13;-0.0303;-0.0008;-0.0041
6,81E+13;-0.0234;0.0232;-0.0083
6,81E+13;-0.0154;-0.0003;-0.0105
6,81E+13;-0.0053;-0.0066;-0.0025
6,81E+13;-0.0005;-0.0050;-0.0030
6,81E+13;-0.0069;0.0210;-0.0062
6,81E+13;0.0293;-0.0429;-0.0137
6,81E+13;0.0022;0.0200;-0.0158
6,81E+13;0.0006;0.0040;-0.0041
6,81E+13;0.0224;-0.0141;-0.0051
6,81E+13;-0.0010;0.0418;-0.0078
6,81E+13;0.0267;-0.0413;-0.0115
6,81E+13;-0.0048;-0.0034;-0.0089
6,81E+13;0.0059;-0.0034;-0.0105
6,81E+13;-0.0058;-0.0034;-0.0105
6,81E+13;0.0032;-0.0178;-0.0062
6,81E+13;0.0006;-0.0152;-0.0137
6,81E+13;-0.0058;-0.0003;-0.0121
6,81E+13;0.0128;-0.0274;-0.0073
6,81E+13;-0.0202;0.0093;-0.0073
6,81E+13;0.0048;-0.0040;-0.0003
6,81E+13;0.0059;-0.0072;-0.0062
6,81E+13;-0.0175;0.0072;-0.0115
6,81E+13;0.0219;-0.0306;-0.0078
6,81E+13;-0.0090;0.0306;-0.0147
6,81E+13;-0.0021;0.0104;-0.0078
6,81E+13;0.0213;-0.0104;-0.0025
6,81E+13;0.0112;0.0205;-0.0147
6,81E+13;0.0139;-0.0024;-0.0142
6,81E+13;-0.0074;0.0115;-0.0153
6,81E+13;0.0426;-0.0524;-0.0115
6,81E+13;-0.0149;0.0248;-0.0147
6,81E+13;0.0187;-0.0290;-0.0009
6,81E+13;0.0474;-0.0359;-0.0089
6,81E+13;-0.0266;0.0865;-0.0062
6,81E+13;0.0272;-0.0594;-0.0089
6,81E+13;-0.0207;0.0605;-0.0089
6,81E+13;0.0245;-0.0194;-0.0105
6,81E+13;-0.0101;0.0407;-0.0099
6,81E+13;-0.0021;-0.0066;-0.0057
6,81E+13;0.0155;-0.0327;-0.0216
6,81E+13;-0.0085;0.0833;-0.0147
6,81E+13;0.0144;-0.1110;-0.0291
6,81E+13;-0.0154;0.0748;-0.0169
6,81E+13;0.0139;-0.0178;-0.0259
6,81E+13;0.0256;-0.0050;-0.0163
6,81E+13;0.0043;0.0322;-0.0110
6,81E+13;0.0203;-0.0327;-0.0078
6,81E+13;-0.0324;0.0695;-0.0105
6,81E+13;0.0203;0.0008;-0.0089
6,81E+13;-0.0277;-0.0056;-0.0062
6,81E+13;-0.0521;0.0365;-0.0019
6,81E+13;-0.0415;-0.0381;-0.0003
6,81E+13;-0.0245;0.0205;0.0108
6,81E+13;-0.0585;-0.0098;0.0060
6,81E+13;-0.0649;-0.0274;0.0039
6,81E+13;0.0038;-0.0413;0.0060
6,81E+13;-0.0506;-0.0072;-0.0094
6,81E+13;-0.0064;-0.0194;-0.0035
6,81E+13;-0.0165;-0.0306;-0.0126
6,81E+13;0.0208;-0.0492;-0.0009
6,81E+13;-0.0277;-0.0205;-0.0105
6,81E+13;0.0043;-0.0189;0.0018
6,81E+13;0.0022;-0.0423;-0.0089
6,81E+13;0.0059;0.0290;0.0013
6,81E+13;0.0064;-0.0897;-0.0105
6,81E+13;0.0006;0.0764;0.0007
6,81E+13;0.0245;-0.0295;-0.0051
6,81E+13;0.0006;0.0072;-0.0051
6,81E+13;0.0075;0.0392;0.0013
6,81E+13;0.0080;-0.0184;-0.0062
6,81E+13;-0.0117;0.0290;0.0060
6,81E+13;0.0006;0.0056;0.0018
6,81E+13;-0.0191;0.0407;0.0044
6,81E+13;-0.0122;0.0163;0.0114
6,81E+13;-0.0399;0.0503;0.0013
6,81E+13;-0.0074;0.0445;0.0135
6,81E+13;-0.0090;0.0535;0.0066
6,81E+13;0.0000;0.0306;0.0013
6,81E+13;0.0102;-0.0056;-0.0041
6,81E+13;0.0107;0.0317;-0.0025
6,81E+13;0.0235;-0.0136;-0.0009
6,81E+13;0.0197;0.0349;0.0034
6,81E+13;-0.0122;-0.0024;-0.0035
6,81E+13;-0.0266;0.0370;0.0066
6,81E+13;-0.0181;-0.0343;0.0023
6,81E+13;-0.1661;0.0482;-0.0003
6,81E+13;-0.0681;0.0423;0.0108
6,81E+13;-0.0969;-0.1195;-0.0126
6,81E+13;-0.1006;0.1020;0.0188
6,81E+13;-0.1757;-0.1147;-0.0254
6,81E+13;-0.0340;0.0700;0.0194
6,81E+13;-0.0213;-0.0679;-0.0110
6,81E+13;-0.0064;0.0493;0.0007
6,81E+13;0.0368;-0.0125;-0.0105
6,81E+13;0.0996;0.0253;-0.0158
6,81E+13;0.1257;-0.0375;-0.0078
6,81E+13;0.1060;0.0056;-0.0137
6,81E+13;0.1656;-0.0333;-0.0153
6,81E+13;0.1491;0.0514;-0.0147
6,81E+13;0.1396;-0.0732;-0.0062
6,81E+13;0.1278;0.0168;0.0007
6,81E+13;0.0970;-0.0098;-0.0179
6,81E+13;0.1140;0.0194;-0.0009
6,81E+13;0.0197;0.0093;-0.0057
6,81E+13;0.0320;-0.0061;-0.0035
6,81E+13;0.0123;0.0205;0.0013
6,81E+13;-0.0175;0.0077;-0.0019
6,81E+13;-0.0175;0.0237;0.0050
6,81E+13;-0.0378;-0.0008;-0.0067
6,81E+13;-0.0271;0.0280;0.0092
6,81E+13;-0.0532;-0.0226;-0.0078
6,81E+13;-0.0335;0.0674;0.0071
6,81E+13;-0.0282;-0.0572;-0.0083
6,81E+13;-0.0383;0.0695;0.0018
6,81E+13;-0.0362;-0.0418;-0.0089
6,81E+13;-0.0229;0.0147;-0.0035
6,81E+13;-0.0298;-0.0200;-0.0078
6,81E+13;-0.0410;0.0807;-0.0099
6,81E+13;-0.0106;-0.1078;-0.0078
6,81E+13;-0.0042;0.0088;0.0002
6,81E+13;-0.0516;-0.0184;-0.0126
6,81E+13;0.0011;0.0115;-0.0025
6,81E+13;-0.0127;-0.0269;-0.0121
6,81E+13;0.0176;0.0242;-0.0030
6,81E+13;-0.0149;-0.0104;-0.0083
6,81E+13;0.0235;-0.0359;-0.0019
6,81E+13;0.0086;0.0242;0.0029
6,81E+13;0.0245;-0.0120;0.0044
6,81E+13;0.0235;0.0439;0.0103
6,81E+13;0.0155;0.0466;0.0114
6,81E+13;0.0325;-0.0200;0.0263
6,81E+13;0.0027;0.0301;0.0252
6,81E+13;-0.0021;0.0157;0.0289
6,81E+13;0.0171;0.0258;0.0369
6,81E+13;-0.0165;0.0072;0.0337
6,81E+13;0.0011;0.0519;0.0375
6,81E+13;-0.0111;-0.0205;0.0279
6,81E+13;-0.0170;0.0024;0.0343
6,81E+13;-0.0122;-0.0317;0.0353
6,81E+13;-0.0186;-0.0034;0.0204
6,81E+13;-0.0069;-0.0178;0.0247
6,81E+13;-0.0154;-0.0290;0.0252
6,81E+13;-0.0016;-0.0727;0.0204
6,81E+13;-0.0021;0.0163;0.0236
6,81E+13;-0.0106;-0.0934;0.0082
6,81E+13;0.0149;0.0141;0.0194
6,81E+13;0.0032;-0.0785;-0.0003
6,81E+13;0.0160;0.0051;0.0087
6,81E+13;0.0176;-0.0966;-0.0057
6,81E+13;0.0070;-0.0141;0.0023
6,81E+13;0.0208;-0.0519;-0.0089
6,81E+13;0.0405;-0.0333;0.0023
6,81E+13;-0.0095;-0.0247;-0.0089
6,81E+13;0.0256;-0.0258;0.0018
6,81E+13;0.0027;-0.0136;-0.0051
6,81E+13;0.0096;-0.0104;0.0092
6,81E+13;-0.0053;0.0019;0.0007
6,81E+13;0.0000;0.0077;0.0002
6,81E+13;0.0006;0.0248;0.0066
6,81E+13;-0.0032;-0.0274;0.0103
6,81E+13;-0.0074;0.0301;0.0055
6,81E+13;-0.0021;-0.0008;0.0039
6,81E+13;-0.0037;0.0338;0.0071
6,81E+13;0.0054;-0.0540;0.0029
6,81E+13;-0.0266;0.0578;0.0066
6,81E+13;0.0032;-0.0817;-0.0014
6,81E+13;-0.0111;0.0450;0.0060
6,81E+13;-0.0127;-0.0769;-0.0051
6,81E+13;-0.0058;0.0695;0.0082
6,81E+13;-0.0186;-0.0902;-0.0067
6,81E+13;0.0123;0.0024;0.0023
6,81E+13;0.0011;0.0008;-0.0051
6,81E+13;-0.0026;-0.0381;0.0029
6,81E+13;0.0118;0.0067;-0.0030
6,81E+13;0.0240;-0.0306;0.0013
6,81E+13;0.0102;-0.0114;-0.0057
6,81E+13;0.0299;-0.0050;0.0018
6,81E+13;0.0213;-0.0077;-0.0030
6,81E+13;0.0197;-0.0077;0.0002
6,81E+13;0.0213;0.0184;0.0076
6,81E+13;0.0139;-0.0349;-0.0051
6,81E+13;0.0261;0.0493;0.0114
6,81E+13;0.0133;-0.0508;-0.0051
6,81E+13;0.0096;0.0477;0.0103
6,81E+13;-0.0111;0.0141;0.0013
6,81E+13;-0.0122;0.0109;0.0103
6,81E+13;-0.0277;-0.0040;0.0098
6,81E+13;-0.0410;0.0013;0.0071
6,81E+13;-0.0564;0.0509;0.0082
6,81E+13;-0.0729;0.0120;0.0013
6,81E+13;-0.0623;0.0306;0.0114
6,81E+13;-0.0436;-0.0056;0.0082
6,81E+13;-0.0756;0.0008;0.0023
6,81E+13;-0.0750;-0.0024;0.0087
6,81E+13;-0.0202;-0.0066;0.0124
6,81E+13;-0.0628;-0.0301;-0.0051
6,81E+13;-0.0298;0.0594;0.0124
6,81E+13;-0.0420;-0.0514;-0.0019
6,81E+13;-0.0255;0.0221;0.0098
6,81E+13;-0.0271;-0.0024;0.0023
6,81E+13;-0.0250;-0.0072;-0.0014
6,81E+13;0.0086;-0.0588;-0.0051
