TimestampAcc [ns]; AccX [m/s^2]; AccY [m/s^2]; AccZ [m/s^2]
6,81E+13;10.472;0.4970;90.753
6,81E+13;0.6508;0.1641;108.803
6,81E+13;0.9813;0.3677;105.833
6,81E+13;0.6855;0.3533;92.933
6,81E+13;0.7011;0.4839;109.486
6,81E+13;17.072;0.7486;95.508
6,81E+13;0.9442;-0.1294;98.563
6,81E+13;0.9646;-0.2168;114.337
6,81E+13;14.353;0.0024;104.563
6,81E+13;0.9346;-0.7390;89.316
6,81E+13;10.256;-14.038;119.535
6,81E+13;0.8029;-13.906;104.887
6,81E+13;0.9753;-15.176;85.914
6,81E+13;0.1729;-22.362;110.444
6,81E+13;0.6927;-16.949;99.209
6,81E+13;0.9083;-16.673;89.472
6,81E+13;0.5909;-10.361;85.280
6,81E+13;-0.0116;-19.500;84.729
6,81E+13;0.3549;-19.835;112.277
6,81E+13;0.6843;-18.110;71.206
6,81E+13;0.4879;-13.236;99.653
6,81E+13;0.9310;-13.559;96.550
6,81E+13;0.1621;-15.032;83.148
6,81E+13;-0.0799;-21.943;89.280
6,81E+13;0.3513;-15.763;101.701
6,81E+13;0.4711;-20.135;96.191
6,81E+13;0.8592;-17.727;84.884
6,81E+13;0.3705;-20.326;96.850
6,81E+13;0.6280;-17.320;82.142
6,81E+13;0.0878;-20.506;100.132
6,81E+13;0.8053;-18.601;91.137
6,81E+13;0.7789;-19.787;95.748
6,81E+13;10.268;-19.332;96.970
6,81E+13;0.8328;-17.715;94.299
6,81E+13;0.5430;-19.452;98.599
6,81E+13;0.9071;-0.4372;97.796
6,81E+13;0.7502;-27.105;102.072
6,81E+13;13.610;0.4587;102.611
6,81E+13;0.4196;-12.637;82.177
6,81E+13;10.197;-10.026;135.609
6,81E+13;11.826;0.7306;55.180
6,81E+13;-0.3206;-14.457;129.944
6,81E+13;18.030;0.4827;101.222
6,81E+13;0.2914;-0.1198;71.721
6,81E+13;0.7526;-0.7031;127.524
6,81E+13;10.376;0.5270;90.646
6,81E+13;-0.1086;-0.1222;81.567
6,81E+13;11.131;-0.3989;130.950
6,81E+13;0.5334;0.4683;72.236
6,81E+13;-0.0859;-0.2037;105.318
6,81E+13;0.7645;-0.2360;104.444
6,81E+13;-0.1242;0.2168;84.693
6,81E+13;-0.3841;-0.3127;104.659
6,81E+13;0.5094;0.1676;98.551
6,81E+13;0.0076;-0.2108;98.012
6,81E+13;0.4220;-0.1785;102.216
6,81E+13;0.3729;-0.1054;101.054
6,81E+13;0.1693;-0.2096;91.724
6,81E+13;0.0112;-0.4504;107.546
6,81E+13;0.3705;0.1281;90.969
6,81E+13;0.8292;-0.3510;92.814
6,81E+13;0.2579;-0.3929;106.228
6,81E+13;-0.2272;-0.4037;88.070
6,81E+13;0.0363;-0.1581;91.017
6,81E+13;0.0195;-0.5953;100.599
6,81E+13;0.2232;-0.6085;105.342
6,81E+13;-0.1002;-0.7510;95.772
6,81E+13;-0.1949;-0.6648;105.055
6,81E+13;0.5250;-0.7474;103.749
6,81E+13;0.8340;-0.9259;110.816
6,81E+13;0.4867;-0.8912;85.723
6,81E+13;0.2711;-0.7762;101.629
6,81E+13;0.5813;-0.7738;104.060
6,81E+13;0.6831;-0.4755;92.358
6,81E+13;0.3501;-0.3067;97.497
6,81E+13;-0.0751;-0.4348;93.975
6,81E+13;0.2747;-0.3809;102.982
6,81E+13;-0.0128;-0.5187;97.748
6,81E+13;0.5178;-0.2743;94.862
6,81E+13;0.4447;-0.4612;99.317
6,81E+13;0.1932;-0.3246;91.065
6,81E+13;-0.0116;-0.3630;97.628
6,81E+13;0.6136;-0.2096;95.221
6,81E+13;0.6424;-0.3761;99.808
6,81E+13;0.0112;-0.4863;97.976
6,81E+13;-0.0296;-0.5055;97.233
6,81E+13;0.1201;-0.3306;102.994
6,81E+13;0.5298;-0.3342;97.389
6,81E+13;0.4495;-0.5774;98.227
6,81E+13;0.2052;-0.5103;101.030
6,81E+13;-0.0871;-0.3654;95.029
6,81E+13;0.0447;-0.3510;95.341
6,81E+13;0.5837;-0.4204;102.958
6,81E+13;0.5717;-0.5486;97.545
6,81E+13;0.1549;-0.4923;99.521
6,81E+13;0.0004;-0.5079;98.479
6,81E+13;0.2351;-0.2887;99.737
6,81E+13;0.3825;-0.4767;99.114
6,81E+13;0.2771;-0.3654;101.413
6,81E+13;0.2866;-0.3977;96.023
6,81E+13;0.0279;-0.6265;97.952
6,81E+13;0.2076;-0.3570;99.209
6,81E+13;0.1836;-0.3150;96.886
6,81E+13;0.6496;-0.3294;104.504
6,81E+13;0.7082;-0.4372;100.096
6,81E+13;0.2136;-0.6444;95.305
6,81E+13;0.1070;-0.4372;101.940
6,81E+13;0.2699;-0.2372;98.587
6,81E+13;0.3657;-0.4288;98.982
6,81E+13;0.5298;-0.5869;104.372
6,81E+13;0.6388;-0.5414;100.335
6,81E+13;0.2375;-0.2863;97.748
6,81E+13;0.0267;-0.6145;94.490
6,81E+13;0.1992;-0.4708;109.330
6,81E+13;0.2842;-0.2815;96.383
6,81E+13;0.2423;-0.5199;96.898
6,81E+13;0.6484;-0.3713;106.636
6,81E+13;0.6555;-0.5570;90.981
6,81E+13;0.0327;-0.3785;99.317
6,81E+13;0.3477;-0.5115;101.270
6,81E+13;0.4411;-0.2995;102.443
6,81E+13;0.4244;-0.5893;97.964
6,81E+13;0.5549;-0.0659;95.065
6,81E+13;0.6232;-0.8145;103.414
6,81E+13;0.8244;-0.3689;102.240
6,81E+13;-0.2320;-0.4252;93.832
6,81E+13;0.4651;-0.3079;102.551
6,81E+13;0.5981;-0.4252;100.407
6,81E+13;0.0902;-0.6313;105.558
6,81E+13;0.5058;-0.2444;93.400
6,81E+13;0.5178;-0.4288;100.108
6,81E+13;0.7250;-0.2300;91.580
6,81E+13;0.0064;-0.4169;97.293
6,81E+13;-0.0859;-0.0683;92.119
6,81E+13;-0.1134;0.0155;82.776
6,81E+13;-0.0655;-0.6576;95.808
6,81E+13;0.1992;-0.2923;107.402
6,81E+13;0.4172;-0.1054;92.837
6,81E+13;-0.0368;-0.2935;94.790
6,81E+13;0.0710;-0.5031;106.288
6,81E+13;0.3238;-0.5354;88.250
6,81E+13;-0.3997;-0.2360;92.706
6,81E+13;-0.1613;-0.4276;96.299
6,81E+13;0.0471;-0.2791;97.365
6,81E+13;0.1812;-0.5582;92.778
6,81E+13;0.1860;-0.0959;104.539
6,81E+13;0.5166;-0.8277;102.635
6,81E+13;0.4256;-0.3318;102.060
6,81E+13;0.3142;-0.4216;93.556
6,81E+13;0.4016;-0.3881;104.180
6,81E+13;0.6184;-0.4264;95.592
6,81E+13;0.1070;-0.6217;104.468
6,81E+13;0.4220;-0.2396;93.341
6,81E+13;0.3561;-0.4839;100.048
6,81E+13;0.4100;-0.4492;95.077
6,81E+13;0.4879;-0.2695;98.718
6,81E+13;0.4867;-0.4360;100.575
6,81E+13;0.4304;-0.2156;94.814
6,81E+13;0.4376;-0.4827;94.969
6,81E+13;0.4974;-0.4025;107.438
6,81E+13;0.5501;-0.4528;98.179
6,81E+13;0.1609;-0.3534;99.988
6,81E+13;-0.0176;-0.6780;98.383
6,81E+13;-0.0547;-0.3438;100.359
6,81E+13;-0.2392;-0.5007;99.748
6,81E+13;0.3106;-0.1653;95.784
6,81E+13;-0.0535;-0.0180;84.082
6,81E+13;0.1261;-0.2995;85.938
6,81E+13;0.3693;0.2742;89.807
6,81E+13;0.1884;0.2599;67.289
6,81E+13;0.3417;-0.3007;99.665
6,81E+13;-0.0919;-0.3570;92.837
6,81E+13;0.0052;-0.2013;93.101
6,81E+13;0.0746;-0.1102;70.907
6,81E+13;0.0627;-0.9427;126.782
6,81E+13;0.7993;-0.4540;92.502
6,81E+13;-0.1254;-0.6564;101.006
6,81E+13;0.4244;-0.9882;95.628
6,81E+13;0.5921;-12.517;118.685
6,81E+13;-0.3051;-10.481;115.451
6,81E+13;0.3537;-0.7498;108.109
6,81E+13;0.1621;-0.8780;122.949
6,81E+13;0.6879;-10.397;106.408
6,81E+13;-0.1242;-0.7259;121.033
6,81E+13;0.6136;-0.3773;105.534
6,81E+13;0.7562;-0.8720;115.092
6,81E+13;0.1669;-0.0276;109.762
6,81E+13;-0.0020;-0.2456;97.018
6,81E+13;0.3920;-0.3929;112.600
6,81E+13;0.5382;-0.3079;99.772
6,81E+13;0.2375;-0.2049;103.402
6,81E+13;0.4304;0.0922;95.305
6,81E+13;0.2687;-0.5965;93.053
6,81E+13;0.2962;-0.0671;100.767
6,81E+13;0.1573;-0.3618;88.250
6,81E+13;0.3393;-0.2743;98.635
6,81E+13;0.3633;-0.4360;92.263
6,81E+13;-0.0128;-0.2132;92.778
6,81E+13;0.2483;-0.2971;89.017
6,81E+13;-0.0152;-0.3522;98.694
6,81E+13;0.2459;-0.5318;94.886
6,81E+13;0.2854;-0.1378;91.843
6,81E+13;-0.3685;-0.6217;93.245
6,81E+13;0.1788;-0.1665;100.958
6,81E+13;0.2519;-0.4001;90.658
6,81E+13;0.2723;-0.3234;104.216
6,81E+13;0.3908;-0.7103;98.299
6,81E+13;0.1872;-0.3414;103.557
6,81E+13;0.1872;-0.3845;90.765
6,81E+13;-0.0044;-0.5606;106.456
6,81E+13;0.1824;-0.5630;102.336
6,81E+13;-0.0403;-0.5642;101.377
6,81E+13;0.1190;-0.5294;102.659
6,81E+13;0.0052;-0.4097;96.539
6,81E+13;-0.4703;-0.5366;100.934
6,81E+13;-0.0966;-0.1905;97.533
6,81E+13;-0.2643;-0.5941;100.144
6,81E+13;-0.3194;-0.4420;102.839
6,81E+13;-0.3266;-0.4971;95.988
6,81E+13;-0.2404;-0.2923;99.437
6,81E+13;-0.4548;-0.3414;95.736
6,81E+13;-0.7315;-0.3522;97.197
6,81E+13;-0.4416;-0.2719;98.455
6,81E+13;-0.3110;-0.4085;99.581
6,81E+13;-0.6213;-0.4073;95.065
6,81E+13;-0.4308;-0.3713;98.227
6,81E+13;-0.4943;-0.5390;102.120
6,81E+13;-0.1697;-0.2767;98.000
6,81E+13;-0.3338;-0.5031;98.874
6,81E+13;-0.1110;-0.3198;101.030
6,81E+13;-0.0883;-0.5354;94.478
6,81E+13;0.1309;-0.5019;106.959
6,81E+13;-0.1805;-0.4360;94.562
6,81E+13;0.0112;-0.5989;104.539
6,81E+13;0.4088;-0.6025;101.773
6,81E+13;0.0040;-0.5438;106.097
6,81E+13;0.2100;-0.3761;85.423
6,81E+13;0.2124;-0.5582;106.983
6,81E+13;0.4711;-0.4145;95.413
6,81E+13;0.0159;-0.4947;104.132
6,81E+13;0.6855;-0.2983;96.383
6,81E+13;0.3058;-0.4887;102.491
6,81E+13;0.2926;-0.5462;96.670
6,81E+13;0.2459;-0.2240;100.551
6,81E+13;0.6064;-0.3318;97.952
6,81E+13;0.3298;-0.3366;99.820
6,81E+13;0.3250;-0.4731;98.383
6,81E+13;-0.0727;-0.3869;96.634
6,81E+13;0.2902;-0.3318;96.251
6,81E+13;-0.0475;-0.4636;100.659
6,81E+13;0.1046;-0.3749;99.078
6,81E+13;-0.0224;-0.6013;94.742
6,81E+13;0.4340;-0.3498;104.300
6,81E+13;-0.0511;-0.5474;87.340
6,81E+13;-0.1865;-0.6840;110.552
6,81E+13;0.1621;-0.3031;90.310
6,81E+13;-0.0655;-0.6348;105.354
6,81E+13;0.5513;-0.4588;98.479
6,81E+13;-0.0427;-0.7450;102.419
6,81E+13;0.4555;-0.6061;99.725
6,81E+13;0.0890;-0.4252;103.977
6,81E+13;0.4160;-0.6420;98.215
6,81E+13;0.2543;-0.4935;105.617
6,81E+13;0.5238;-0.6336;98.132
6,81E+13;0.4100;-0.6564;101.928
6,81E+13;0.2423;-0.5965;105.749
6,81E+13;0.2699;-0.7271;96.419
